Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Argentina,2019,8.14,9.51,-2.994387889,,9.840000153
Argentina,2018,8.99,9.67,-3.601609757,99.0038681,9.220000267
Argentina,2017,8.69,10.44,1.757648183,,8.350000381
Argentina,2016,8.06,9,-3.110063898,99.12500763,8.111000061
Argentina,2015,8.1,10.23,1.629664279,99.17996216,7.520999908
Argentina,2014,9.16,9.67,-3.57858051,98.99388885,7.269999981
Argentina,2013,8.45,9.78,1.265685175,99.12194824,7.099999905
Argentina,2012,8.96,9.83,-2.14528445,99.10523224,7.21999979
Argentina,2011,8.42,9.42,4.788683139,99.10832977,7.179999828
Argentina,2010,8.43,9.45,9.300122922,98.95497131,7.710000038
Argentina,2009,8.35,9.46,-6.854225055,98.98342133,8.649999619
Argentina,2008,8.59,8.18,3.029500652,,7.840000153
Argentina,2007,8.17,7.83,7.924210888,,8.470000267
Argentina,2006,8.53,7.64,6.955533576,98.6108017,10.07999992
Argentina,2005,8.54,7.61,7.729488996,,11.51000023
Argentina,2004,8.68,7.23,7.884937505,,13.52000046
Argentina,2003,9.66,6.89,7.676534048,,15.35999966
Argentina,2002,10.28,7.39,-11.85478172,,19.59000015
Argentina,2001,10.31,8.37,-5.447048173,97.1933136,17.31999969
Argentina,2000,9.2,8.22,-1.874936367,,15
Belice,2019,7.65,5.97,-0.135066237,,6.710999966
Belice,2018,7.16,5.82,0.946112739,,6.644000053
Belice,2017,7.71,5.79,-0.184795031,,6.599999905
Belice,2016,6.67,6.15,-2.061066621,,7
Belice,2015,6.87,5.94,0.487997242,,7.579999924
Belice,2014,6.89,6.19,1.782739875,,8.239999771
Belice,2013,6.83,5.65,-0.96381635,,8.350000381
Belice,2012,7.35,5.47,0.068796758,,8.305999756
Belice,2011,7.92,5.72,-0.480053247,,8.284000397
Belice,2010,8.18,5.68,0.508814503,,8.241999626
Belice,2009,7.48,5.85,-2.277345824,,8.25
Belice,2008,5.7,5.68,0.861932837,,8.180000305
Belice,2007,6.69,5.33,-2.074775139,,8.510000229
Belice,2006,7.19,4.56,2.112534896,,9.390000343
Belice,2005,7.09,4.5,-0.674807736,,10.90999985
Belice,2004,8.84,4.48,2.103835843,,10.58699989
Belice,2003,8.17,4.62,6.47638111,,10.23999977
Belice,2002,8.09,4.71,1.811010959,,10.03999996
Belice,2001,8.19,4.63,1.497699826,,9.069999695
Belice,2000,10.01,3.99,9.212347182,76.90297699,10.85099983
Bolivia ,2019,6.82,6.92,0.796516094,,3.819999933
Bolivia ,2018,6.97,6.64,2.752163462,,3.519999981
Bolivia ,2017,7.17,6.49,2.696155231,,3.650000095
Bolivia ,2016,7.43,6.83,2.731976347,,3.5
Bolivia ,2015,7.2,6.55,3.282698937,92.45507813,3.109999895
Bolivia ,2014,7.04,5.9,3.843749862,,2.019999981
